Date,j_1 Hydraulic_head,j_10 Hydraulic_head,j_2_Hydraulic_head,j_20 Hydraulic_head,j_21 Hydraulic_head
02/01/2020 17:15,9.263689041,8.655881882,7.80023241,9.26289463,10.20347595
02/01/2020 17:30,9.159993172,8.65767765,8.50970459,9.209544182,10.23169613
02/01/2020 17:45,9.256710052,8.659420013,7.802822113,9.147519112,10.25525475
02/01/2020 18:00,9.265317917,8.410437584,8.644112587,9.146936417,10.24252415
02/01/2020 18:15,9.208202362,8.413267136,7.791699886,8.890000343,10.02707195
02/01/2020 18:30,9.216775894,8.421614647,7.861969471,8.985139847,10.05932045
02/01/2020 18:45,9.220067978,8.42782402,8.032810211,9.118821144,10.07609653
02/01/2020 19:00,9.231049538,8.433154106,7.790743351,9.136476517,10.08771896
02/01/2020 19:15,9.237650871,8.437908173,8.085414886,8.890000343,10.09732628
02/01/2020 19:30,9.252193451,8.442234993,7.791345596,8.980247498,10.10569096
02/01/2020 19:45,9.258576393,8.446183205,7.856842518,9.11831665,10.1131649
02/01/2020 20:00,9.261593819,8.44983387,8.029568672,9.136058807,10.11996841
02/01/2020 20:15,9.276994705,8.453227997,7.792410851,8.890000343,10.12616634
02/01/2020 20:30,9.284632683,8.456395149,7.855342388,8.975458145,10.13182735
02/01/2020 20:45,9.287508965,8.459376335,8.028578758,9.118082047,10.13710117
02/01/2020 21:00,9.297034264,8.462197304,7.791348457,9.135869026,10.14206219
02/01/2020 21:15,9.302847862,8.464874268,8.078258514,8.890000343,10.14674282
02/01/2020 21:30,9.312438011,8.467428207,7.790924072,8.970229149,10.15118122
02/01/2020 21:45,9.316577911,8.469874382,7.848439693,9.117541313,10.1553421
02/01/2020 22:00,9.318499565,8.472224236,8.024371147,9.135450363,10.15925217
02/01/2020 22:15,9.213367462,8.474485397,7.795468807,8.927280426,10.1629715
02/01/2020 22:30,9.08023262,8.476668358,7.846894264,8.96500206,10.16656208
02/01/2020 22:45,9.109290123,8.478780746,8.023376465,9.117288589,10.17004013
02/01/2020 23:00,9.144538879,8.480828285,7.790923119,9.135261536,10.17341805
02/01/2020 23:15,9.156009674,8.482814789,8.044794083,9.021430969,10.17670822
02/01/2020 23:30,9.176465034,8.484745979,7.791342258,8.959352493,10.17991638
02/01/2020 23:45,9.184624672,8.486625671,7.839602947,9.116704941,10.18305016
03/01/2020 00:00,9.188222885,8.48845768,8.019135475,9.134841919,10.18611717
03/01/2020 00:15,9.204268456,8.490244865,7.795301914,9.072852135,10.18911934
03/01/2020 00:30,9.215114594,8.491991043,7.837983131,8.9535923,10.19205761
03/01/2020 00:45,9.218420982,8.493697166,8.018131256,9.116423607,10.1949234
03/01/2020 01:00,9.228951454,8.495366096,7.792007923,9.134653091,10.19772148
03/01/2020 01:15,9.236066818,8.496999741,8.000666618,9.111528397,10.20045662
03/01/2020 01:30,9.250197411,8.498601913,7.790929794,8.947367668,10.20313263
03/01/2020 01:45,9.25705719,8.500172615,7.830177784,9.115786552,10.20575428
03/01/2020 02:00,9.260083199,8.501713753,8.013859749,9.134232521,10.20832539
03/01/2020 02:15,9.272538185,8.503227234,7.796013355,9.12181282,10.21084595
03/01/2020 02:30,9.283184052,8.504713058,7.828457832,8.94088459,10.21331787
03/01/2020 02:45,9.286067963,8.506174088,8.0128479,9.115467072,10.21574306
03/01/2020 03:00,9.295193672,8.507610321,7.790927887,9.13404274,10.21812248
03/01/2020 03:15,9.30156517,8.50902462,7.953232288,9.12670517,10.22045994
03/01/2020 03:30,9.311125755,8.510416031,7.792026997,8.933859825,10.22274876
03/01/2020 03:45,9.315567017,8.511785507,7.819947243,9.114758492,10.22498894
03/01/2020 04:00,9.317490578,8.513133049,8.008542061,9.133621216,10.22718334
03/01/2020 04:15,9.324670792,8.514460564,7.795866489,9.131257057,10.22933483
03/01/2020 04:30,9.299929619,8.515768051,7.818067074,8.926359177,10.23144817
03/01/2020 04:45,9.075041771,8.517057419,8.007448196,9.114321709,10.23353481
03/01/2020 05:00,9.136780739,8.518328667,7.790733814,9.133402824,10.2355957
03/01/2020 05:15,9.150032997,8.519581795,7.900445938,9.135931969,10.2376318
03/01/2020 05:30,9.171211243,8.520819664,7.790948868,8.91814518,10.239645
03/01/2020 05:45,9.180594444,8.522042274,7.808461189,9.113566399,10.24163532
03/01/2020 06:00,9.184240341,8.523251534,8.003180504,9.133008957,10.24360561
03/01/2020 06:15,9.227592468,8.529080391,7.878512859,9.203688622,10.25314236
03/01/2020 06:30,9.287079811,8.534641266,7.917408466,8.955775261,10.25815964
03/01/2020 06:45,9.314068794,8.539952278,8.809856415,9.17609024,10.02453232
03/01/2020 07:00,9.361445427,8.545039177,7.83375597,8.940926552,10.10501099
03/01/2020 07:15,9.142780304,8.549923897,8.161685944,9.177656174,10.13664532
03/01/2020 07:30,9.221904755,8.554611206,7.815390587,8.923817635,10.15889072
03/01/2020 07:45,9.244383812,8.559109688,8.338284492,9.1792202,10.17639637
03/01/2020 08:00,9.307854652,8.563428879,7.807512283,8.903311729,10.19177246
03/01/2020 08:15,9.318575859,8.567570686,8.463737488,9.180193901,10.2054987
03/01/2020 08:30,9.362634659,8.571550369,7.800384045,8.890000343,10.21788502
03/01/2020 08:45,9.07212925,8.575370789,8.49975872,9.18002224,10.22911835
03/01/2020 09:00,9.220949173,8.579043388,7.795294285,8.890000343,10.23943901
03/01/2020 09:15,9.259307861,8.585553169,8.813996315,9.273399353,10.26209831
03/01/2020 09:30,9.39936924,8.589805603,7.803712845,9.225349426,10.03615665
03/01/2020 09:45,9.079543114,8.599196434,8.850419998,9.16591835,10.14552689
03/01/2020 10:00,9.327604294,8.602688789,7.800445557,8.890140533,10.18826389
03/01/2020 10:15,9.075111389,8.605800629,8.812980652,9.270749092,10.21977615
03/01/2020 10:30,9.305340767,8.608811378,7.802574635,9.226299286,10.24496651
03/01/2020 10:45,9.330793381,8.6117239,8.848644257,9.167032242,10.26714134
03/01/2020 11:00,9.092240334,8.614522934,7.806598186,8.93221283,10.07429504
03/01/2020 11:15,9.180779457,8.617218971,8.811746597,9.268112183,10.14618397
03/01/2020 11:30,9.329173088,8.619820595,7.798165321,9.227288246,10.18869495
03/01/2020 11:45,9.075111389,8.622346878,8.84701252,9.168185234,10.22011471
03/01/2020 12:00,9.34932518,8.624811172,7.79734087,9.147446632,10.26605988
03/01/2020 12:15,9.082497597,8.642037392,8.888929367,8.890000343,10.08328152
03/01/2020 12:30,9.58605957,8.791518211,7.847565651,9.46829319,10.27338409
03/01/2020 12:45,9.649996758,8.700630188,8.890298843,9.471738815,10.14361286
03/01/2020 13:00,9.634848595,8.429300308,7.802665234,9.448818207,10.02632046
03/01/2020 13:15,9.694238663,8.899559975,8.826365471,9.395723343,10.12100983
03/01/2020 13:30,9.713995934,8.751487732,7.800691605,9.523607254,10.25453663
03/01/2020 13:45,9.872314453,8.821407318,8.825942993,9.487374306,10.26895618
03/01/2020 14:00,9.958340645,8.750346184,7.804724216,9.442026138,10.08151817
03/01/2020 14:15,9.884958267,8.410300255,8.825583458,9.387056351,10.12074184
03/01/2020 14:30,9.797636032,8.683742523,7.795114517,9.315960884,10.15964603
03/01/2020 14:45,9.831274986,8.410297394,9.013010025,9.599601746,10.33649254
03/01/2020 15:00,9.795375824,8.449199677,7.806781769,9.574281693,10.26575756
