,index,Unnamed: 0,relatie_code,storing_idnummer,storing_melddatum,storing_medium,storing_materiaal,storing_type,storing_type_hulpstuk,storing_aanlegjaar,storing_wanddikte,storing_diameter,storing_bomen,storing_relining,storing_relining_jaar,storing_kathodische_bescherming,storing_pmax,storing_pdifference,storing_lengte_scheur,storing_grond_dekking,storing_verkeersdrempels,storing_drempelafstand,storing_verschijningsvorm,storing_bescherminginwendig,storing_soortoorzaak,storing_oorzaak1spontanestoring,storing_oorzaak2spontanestoring,storing_oorzaakinternebedrijfsvoering,storing_storendobject,Unnamed: 29,age_at_failure,construction_year_vs_graph_year
1301,115,715,A,-,2014-05-07 00:00:00,-,MAT_AC,-,-,1960-01-01,12,100.0,BOM_JA,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,54.34633812457221,60.0
1303,117,1915,A,-,2014-10-12 00:00:00,-,MAT_PE,TYP_TRV_STEEK,-,1969-01-01,,32.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_SCHEUR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,VERB,,45.776865160848736,50.997946611909654
1304,118,1032,B,-,2014-06-19 00:00:00,-,MAT_ST,-,-,1949-01-01,,100.0,BOM_NEE,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_PUNTLEK,BI_ST_ONB,ORZ_SPONTAAN,,,,BUIS,,65.46201232032854,70.99794661190965
1305,119,720,B,-,2014-05-07 00:00:00,-,MAT_ST,-,-,1957-01-01,,80.0,BOM_NEE,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_PUNTLEK,BI_ST_ONB,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,57.34428473648186,62.997946611909654
1306,120,945,B,-,2014-06-10 00:00:00,-,MAT_AC,-,-,1980-01-01,,100.0,BOM_NEE,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,,,,BUIS,,34.4394250513347,40.0
1308,122,2398,A,-,2014-12-28 00:00:00,-,MAT_GG,-,-,1979-01-01,9.5,125.0,BOM_JA,-,-1,BU_GG_GEEN,-1,-1,-,-,-,-,BUIS_RONDBR,BI_GG_CL,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,35.98904859685147,40.99931553730322
1309,123,276,A,-,2014-02-14 00:00:00,-,MAT_AC,-,-,1957-01-01,12,100.0,BOM_NEE,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,BUIS,,57.11978097193703,62.997946611909654
1310,124,1089,B,-,2014-06-26 00:00:00,-,MAT_ST,-,-,1956-01-01,,150.0,BOM_NEE,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_AND,BI_ST_ONB,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,58.483230663928815,64.0
1311,125,834,C,-,2014-05-25 00:00:00,-,MAT_PE80,TYP_AND,-,1955-01-01,5,53.0,BOM_ONB,-,-1,-,-1,-1,-,-,-,-,-,-,ORZ_SPONTAAN,,,,BUIS,,59.39493497604381,64.99931553730322
1312,126,901,B,-,2014-06-04 00:00:00,-,MAT_ST,-,-,1964-01-01,,100.0,BOM_NEE,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_PUNTLEK,BI_ST_ONB,ORZ_SPONTAAN,,,,BUIS,,50.42299794661191,56.0
1313,127,1878,B,-,2014-10-08 00:00:00,-,MAT_PE_AND,-,-,2003-01-01,,50.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,BUIS_LENGTES,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,11.767282683093772,16.999315537303218
1314,128,1350,A,-,2014-07-28 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1955-01-01,,100.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_SCHEUR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,VERB,,59.57015742642026,64.99931553730322
1315,129,414,A,-,2014-03-12 00:00:00,-,MAT_PVC,TYP_PVCLIJM,-,1968-01-01,,110.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_SCHEUR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,VERB,,46.19301848049281,52.0
1316,130,2205,C,-,2014-11-27 00:00:00,-,MAT_GG,TYP_LMOF,-,1962-01-01,12,225.0,BOM_ONB,-,-1,BU_GG_BIT,-1,-1,-,-,-,-,-,BI_GG_GEEN,ORZ_SPONTAAN,,,,BUIS,,52.903490759753595,57.998631074606436
1318,132,1281,A,-,2014-07-19 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1986-01-01,,250.0,BOM_JA,-,-1,-,-1,-1,-,-,-,-,VERB_SCHUIF,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,VERB,,28.54483230663929,33.998631074606436
1319,133,1158,B,-,2014-07-06 00:00:00,-,MAT_AC,-,-,1963-01-01,15,150.0,BOM_NEE,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_LENGTES,-,ORZ_SPONTAAN,,,,BUIS,,51.50992470910335,56.99931553730322
1320,134,272,A,-,2014-02-14 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1971-01-01,,100.0,BOM_JA,-,-1,-,-1,-1,-,-,-,-,VERB_SCHEUR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,VERB,,43.121149897330596,48.99931553730322
1321,135,776,B,-,2014-05-17 00:00:00,-,MAT_AC,-,-,1973-01-01,,100.0,BOM_NEE,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,,,,BUIS,,41.37166324435318,46.997946611909654
1322,136,327,A,-,2014-02-24 00:00:00,-,MAT_PVC,TYP_NTRV_STEEK,-,1962-01-01,,110.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_SCHUIF,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,VERB,,52.14784394250513,57.998631074606436
1323,137,1600,A,-,2014-09-01 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1981-01-01,,100.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_SCHEUR,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,VERB,,33.66461327857632,38.997946611909654
1324,138,920,A,-,2014-06-06 00:00:00,-,MAT_PE80,-,-,2013-01-01,2.4,40.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,1.4264202600958247,6.997946611909651
1326,140,785,B,-,2014-05-19 00:00:00,-,MAT_ST,-,-,1972-01-01,,100.0,BOM_NEE,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_PUNTLEK,BI_ST_GEEN,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,42.379192334017795,48.0
1328,142,2158,A,-,2014-11-20 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1957-01-01,,500.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_SCHUIF,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,VERB,,57.883641341546884,62.997946611909654
1329,143,1690,B,-,2014-09-13 00:00:00,-,MAT_AC,TYP_FLENS,-,1988-01-01,,100.0,BOM_JA,-,-1,-,-1,-1,-,-,-,-,VERB_AFD,-,ORZ_SPONTAAN,,,,VERB,,26.699520876112253,32.0
1330,144,309,B,-,2014-02-19 00:00:00,-,MAT_GG,-,-,1968-01-01,,125.0,BOM_JA,-,-1,BU_GG_BIT,-1,-1,-,-,-,-,BUIS_RONDBR,BI_GG_ONB,ORZ_SPONTAAN,,,,BUIS,,46.13552361396304,52.0
1331,145,954,A,-,2014-06-11 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1954-01-01,,100.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_SCHEUR,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,VERB,,60.440793976728266,65.99863107460644
1333,147,2226,B,-,2014-11-29 00:00:00,-,MAT_AC,-,-,1968-01-01,,100.0,BOM_JA,-,-1,BU_AC_TEBIT,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,,,,BUIS,,46.91033538672142,52.0
1334,148,1369,A,-,2014-07-30 00:00:00,-,MAT_GG,TYP_LMOF,-,1978-01-01,,300.0,BOM_JA,-,-1,BU_GG_GEEN,-1,-1,-,-,-,-,VERB_SCHEUR,BI_GG_CL,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,VERB,,36.57494866529774,41.998631074606436
1335,149,376,B,-,2014-03-06 00:00:00,-,MAT_AC,-,-,1972-01-01,,200.0,BOM_JA,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_LENGTES,-,ORZ_SPONTAAN,,,,BUIS,,42.17659137577002,48.0
1337,151,1635,A,-,2014-09-07 00:00:00,-,MAT_GG,-,-,1979-01-01,13.5,275.0,BOM_NEE,-,-1,BU_GG_GEEN,-1,-1,-,-,-,-,BUIS_SCHERF,BI_GG_CL,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,35.68240930869268,40.99931553730322
1338,152,1632,B,-,2014-09-06 00:00:00,-,MAT_ST,-,-,1934-01-01,,80.0,BOM_NEE,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_PUNTLEK,BI_ST_ONB,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,80.67898699520876,85.99863107460644
1339,153,2396,B,-,2014-12-28 00:00:00,-,MAT_ST,TYP_LMOF,-,1966-01-01,,100.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_AND,-,ORZ_SPONTAAN,,,,VERB,,48.988364134154686,53.998631074606436
1341,155,1725,A,-,2014-09-18 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1956-01-01,,100.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_SCHEUR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,VERB,,58.71321013004791,64.0
1342,156,905,B,-,2014-06-04 00:00:00,-,MAT_AC,-,-,1957-01-01,,100.0,BOM_NEE,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,,,,BUIS,,57.42094455852156,62.997946611909654
1343,157,1148,C,-,2014-07-04 00:00:00,-,MAT_PVC,TYP_TRV_STEEK,-,2013-01-01,3,85.0,BOM_ONB,-,-1,-,-1,-1,-,-,-,-,-,-,ORZ_SPONTAAN,,,,BUIS,,1.5030800821355237,6.997946611909651
1344,158,1516,B,-,2014-08-20 00:00:00,-,MAT_ST,-,-,1955-01-01,,100.0,BOM_NEE,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_PUNTLEK,BI_ST_GEEN,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,59.6331279945243,64.99931553730322
1346,160,522,B,-,2014-04-01 00:00:00,-,MAT_AC,-,-,1964-01-01,14,100.0,BOM_NEE,-,-1,BU_AC_ONB,-1,-1,-,-,-,-,BUIS_SCHERF,-,ORZ_SPONTAAN,,,,BUIS,,50.247775496235455,56.0
1347,161,2071,B,-,2014-11-06 00:00:00,-,MAT_ST,-,-,1938-01-01,,80.0,BOM_NEE,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_PUNTLEK,BI_ST_ONB,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,76.84599589322382,81.99863107460644
1348,162,126,A,-,2014-01-28 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1947-01-01,,100.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_AFD,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,VERB,,67.07460643394936,72.99931553730322
1349,163,977,B,-,2014-06-13 00:00:00,-,MAT_ST,TYP_AND,-,1965-01-01,,80.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_AND,-,ORZ_SPONTAAN,,,,VERB,,49.445585215605746,54.997946611909654
1351,165,1902,B,-,2014-10-10 00:00:00,-,MAT_ST,-,-,1955-01-01,,50.0,BOM_JA,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_PUNTLEK,BI_ST_ONB,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,59.77275838466804,64.99931553730322
1353,167,1957,C,-,2014-10-19 00:00:00,-,MAT_PVC,TYP_TRV_STEEK,-,1964-01-01,5,151.0,BOM_ONB,-,-1,-,-1,-1,-,-,-,-,-,-,ORZ_SPONTAAN,,,,BUIS,,50.79808350444901,56.0
1355,169,1977,B,-,2014-10-22 00:00:00,-,MAT_AC,-,-,1969-01-01,12,200.0,BOM_NEE,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_LENGTES,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,ORZ_SPON2_AANT,,BUIS,,45.804243668720055,50.997946611909654
1357,171,233,C,-,2014-02-10 00:00:00,-,MAT_GG,TYP_AND,-,1965-01-01,9,204.0,BOM_ONB,-,-1,BU_GG_BIT,-1,-1,-,-,-,-,-,BI_GG_GEEN,ORZ_SPONTAAN,,,,BUIS,,49.1088295687885,54.997946611909654
1358,172,859,A,-,2014-05-28 00:00:00,-,MAT_AC,-,-,1958-01-01,12,100.0,BOM_JA,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,BUIS,,56.40246406570842,61.998631074606436
